timestamp,O,H,L,C,V,T
2025-08-31 20:00:00,44.798,44.799,44.727,44.748,1673.8,74948.46862
2025-08-31 20:01:00,44.748,44.753,44.706,44.724,361.41,16165.60061
2025-08-31 20:02:00,44.724,44.809,44.724,44.809,479.63,21471.70345
2025-08-31 20:03:00,44.809,44.831,44.785,44.817,380.25,17037.59347
2025-08-31 20:04:00,44.817,44.833,44.817,44.831,319.39,14317.39588
2025-08-31 20:05:00,44.831,44.857,44.831,44.853,518.12,23236.48223
2025-08-31 20:06:00,44.853,44.878,44.851,44.863,2159.72,96904.23548
2025-08-31 20:07:00,44.863,44.879,44.836,44.879,665.9,29873.31327
2025-08-31 20:08:00,44.879,44.883,44.871,44.88,69.01,3097.01872
2025-08-31 20:09:00,44.88,44.911,44.88,44.911,731.04,32822.8978
2025-08-31 20:10:00,44.911,44.921,44.902,44.907,175.04,7861.21467
2025-08-31 20:11:00,44.907,44.923,44.885,44.885,2034.78,91380.89392
2025-08-31 20:12:00,44.885,44.911,44.885,44.896,343.44,15421.1144
2025-08-31 20:13:00,44.896,44.904,44.894,44.899,840.53,37740.38173
2025-08-31 20:14:00,44.899,44.9,44.869,44.873,462.98,20781.18893
2025-08-31 20:15:00,44.873,44.888,44.865,44.888,234.4,10518.27677
2025-08-31 20:16:00,44.888,44.91,44.886,44.898,298.53,13404.9369
2025-08-31 20:17:00,44.898,44.898,44.826,44.83,723.8,32460.92539
2025-08-31 20:18:00,44.83,44.857,44.83,44.854,207.04,9285.49063
2025-08-31 20:19:00,44.854,44.858,44.84,44.849,95.33,4275.43812
2025-08-31 20:20:00,44.849,44.849,44.804,44.804,476.38,21351.75267
2025-08-31 20:21:00,44.804,44.84,44.804,44.84,197.21,8840.22138
2025-08-31 20:22:00,44.84,44.843,44.795,44.817,1050.23,47073.98726
2025-08-31 20:23:00,44.817,44.837,44.807,44.829,310.9,13935.28506
2025-08-31 20:24:00,44.829,44.832,44.822,44.832,40.15,1799.68088
2025-08-31 20:25:00,44.832,44.87,44.832,44.87,261.19,11716.4331
2025-08-31 20:26:00,44.87,44.871,44.835,44.842,281.58,12626.84933
2025-08-31 20:27:00,44.842,44.871,44.826,44.834,474.08,21263.17576
2025-08-31 20:28:00,44.834,44.852,44.832,44.85,222.02,9956.87968
2025-08-31 20:29:00,44.85,44.889,44.85,44.869,590.56,26503.58336
2025-08-31 20:30:00,44.869,44.9,44.869,44.9,217.73,9773.55764
2025-08-31 20:31:00,44.9,44.926,44.892,44.925,562.93,25283.86587
2025-08-31 20:32:00,44.925,44.929,44.903,44.929,477.36,21444.18478
2025-08-31 20:33:00,44.929,44.96,44.929,44.95,924.81,41568.26334
2025-08-31 20:34:00,44.95,44.95,44.89,44.924,2290.84,102864.00643
2025-08-31 20:35:00,44.924,44.951,44.918,44.951,296.17,13308.43874
2025-08-31 20:36:00,44.951,44.952,44.861,44.861,404.06,18145.90253
2025-08-31 20:37:00,44.861,44.866,44.845,44.853,617.4,27694.51244
2025-08-31 20:38:00,44.853,44.854,44.828,44.835,301.04,13498.0203
2025-08-31 20:39:00,44.835,44.851,44.825,44.827,733.7,32896.85572
2025-08-31 20:40:00,44.827,44.832,44.808,44.816,737.98,33076.11909
2025-08-31 20:41:00,44.816,44.84,44.786,44.802,1091.89,48921.67424
2025-08-31 20:42:00,44.802,44.815,44.772,44.786,2687.84,120388.20707
2025-08-31 20:43:00,44.786,44.802,44.786,44.802,133.04,5959.34301
2025-08-31 20:44:00,44.802,44.817,44.774,44.788,1185.88,53124.22555
2025-08-31 20:45:00,44.788,44.791,44.767,44.774,318.8,14275.71653
2025-08-31 20:46:00,44.774,44.787,44.771,44.787,44.19,1978.8255
