timestamp,O,H,L,C,V,T
2024-12-31 20:00:00,25.22,25.239,25.197,25.213,4173.05,105239.65656
2024-12-31 20:05:00,25.213,25.242,25.166,25.197,5690.49,143368.13166
2024-12-31 20:10:00,25.197,25.222,25.082,25.102,10247.04,257633.74013
2024-12-31 20:15:00,25.102,25.102,24.834,24.912,84915.97,2118059.35483
2024-12-31 20:20:00,24.912,24.975,24.731,24.835,49841.97,1236921.17401
2024-12-31 20:25:00,24.835,24.906,24.568,24.792,89642.58,2213810.45396
2024-12-31 20:30:00,24.792,24.853,24.561,24.577,70398.22,1735820.72408
2024-12-31 20:35:00,24.577,24.613,24.165,24.217,132637.36,3233042.64452
2024-12-31 20:40:00,24.217,24.848,24.204,24.427,91090.24,2233771.63043
2024-12-31 20:45:00,24.427,24.785,24.345,24.731,64340.9,1583011.56441
2024-12-31 20:50:00,24.731,24.849,24.458,24.458,46247.87,1141400.46579
2024-12-31 20:55:00,24.458,24.585,24.212,24.503,29751.45,725942.73775
2024-12-31 21:00:00,24.503,24.503,24.13,24.4,48156.67,1169586.09511
2024-12-31 21:05:00,24.4,24.655,24.367,24.467,27490.44,674603.1212
2024-12-31 21:10:00,24.467,24.505,24.125,24.291,55574.79,1349908.73893
2024-12-31 21:15:00,24.291,24.477,24.172,24.408,22951.99,557811.13894
2024-12-31 21:20:00,24.408,24.422,24.123,24.392,17460.14,424116.05765
2024-12-31 21:25:00,24.392,24.527,24.372,24.509,19043.17,465362.2672
2024-12-31 21:30:00,24.509,24.591,24.414,24.555,14969.95,366923.21001
2024-12-31 21:35:00,24.555,24.592,24.454,24.454,27140.2,666480.32331
2024-12-31 21:40:00,24.454,24.57,24.437,24.526,10872.68,266379.72167
2024-12-31 21:45:00,24.526,24.592,24.492,24.574,11169.56,274340.33663
2024-12-31 21:50:00,24.574,24.718,24.542,24.557,28472.49,700819.7014
2024-12-31 21:55:00,24.557,24.676,24.461,24.469,28631.03,703422.6956
2024-12-31 22:00:00,24.469,24.517,24.348,24.348,14541.94,355395.09093
2024-12-31 22:05:00,24.348,24.555,24.323,24.555,9441.88,230840.74216
2024-12-31 22:10:00,24.555,24.555,24.399,24.447,6324.18,154726.27995
2024-12-31 22:15:00,24.447,24.5,24.121,24.154,23750.51,577362.03986
2024-12-31 22:20:00,24.154,24.179,23.906,23.94,59953.77,1440623.87603
2024-12-31 22:25:00,23.94,24.018,23.6,23.682,88138.02,2097731.89161
2024-12-31 22:30:00,23.682,23.876,23.673,23.742,37625.9,894059.78301
2024-12-31 22:35:00,23.742,23.763,23.52,23.536,41166.95,973845.8082
2024-12-31 22:40:00,23.536,24.036,23.52,23.977,44310.05,1057093.0461
2024-12-31 22:45:00,23.977,23.977,23.58,23.778,47257.79,1120596.3991
2024-12-31 22:50:00,23.778,23.8,23.542,23.56,38124.32,902255.14007
2024-12-31 22:55:00,23.56,23.708,23.369,23.539,77204.01,1814201.88949
2024-12-31 23:00:00,23.539,23.61,23.43,23.444,25067.09,589324.83665
2024-12-31 23:05:00,23.444,23.555,23.425,23.538,21293.39,500235.682
