timestamp,O,H,L,C,V,T
2025-08-31 20:00:00,204.52,204.85,204.13,204.72,54400.9,11124982.608
2025-08-31 20:05:00,204.72,205.19,204.71,205.03,27555.9,5649222.289
2025-08-31 20:10:00,205.03,205.13,204.73,204.73,10958.3,2245975.731
2025-08-31 20:15:00,204.73,204.91,204.7,204.76,13255.4,2714798.971
2025-08-31 20:20:00,204.76,204.76,204.46,204.65,27926.8,5713523.425
2025-08-31 20:25:00,204.65,204.97,204.65,204.92,7885.9,1615706.064
2025-08-31 20:30:00,204.92,205.08,204.76,204.86,8161.8,1672672.964
2025-08-31 20:35:00,204.86,204.96,204.53,204.63,10202.7,2088568.26
2025-08-31 20:40:00,204.63,204.75,204.51,204.56,13524.6,2766935.206
2025-08-31 20:45:00,204.56,204.72,204.36,204.62,9224.8,1886693.369
2025-08-31 20:50:00,204.62,204.66,204.4,204.58,7559.8,1546094.692
2025-08-31 20:55:00,204.58,204.82,204.57,204.75,10577.1,2165235.248
2025-08-31 21:00:00,204.75,204.75,204.41,204.62,13512.4,2763576.384
2025-08-31 21:05:00,204.62,204.71,204.34,204.38,20350.1,4160703.717
2025-08-31 21:10:00,204.38,204.66,204.14,204.66,22989.4,4696740.395
2025-08-31 21:15:00,204.66,205.03,204.48,204.88,19781.0,4051218.111
2025-08-31 21:20:00,204.88,205.03,204.85,204.87,12345.2,2530175.254
2025-08-31 21:25:00,204.87,204.95,204.76,204.81,10795.8,2211620.129
2025-08-31 21:30:00,204.81,205.13,204.68,205.03,18518.0,3795855.773
2025-08-31 21:35:00,205.03,205.03,204.7,204.9,10261.7,2101980.869
2025-08-31 21:40:00,204.9,205.17,204.83,205.12,7960.6,1632138.741
2025-08-31 21:45:00,205.12,205.12,204.93,204.98,5098.9,1045482.736
2025-08-31 21:50:00,204.98,205.02,204.96,204.98,5941.9,1218070.588
2025-08-31 21:55:00,204.98,205.38,204.97,205.3,11943.5,2451173.03
2025-08-31 22:00:00,205.3,205.47,204.36,204.46,31546.0,6458350.399
2025-08-31 22:05:00,204.46,205.09,204.29,204.93,18916.0,3870242.145
2025-08-31 22:10:00,204.93,205.04,204.62,204.96,8416.8,1724444.2
2025-08-31 22:15:00,204.96,205.31,204.88,205.21,23495.7,4820147.036
2025-08-31 22:20:00,205.21,205.53,205.16,205.5,45814.9,9411507.681
2025-08-31 22:25:00,205.5,205.76,205.43,205.45,19397.1,3987576.873
2025-08-31 22:30:00,205.45,205.5,204.49,204.5,41840.5,8573232.851
2025-08-31 22:35:00,204.5,204.66,204.35,204.35,30708.9,6280641.804
2025-08-31 22:40:00,204.35,204.42,203.68,203.75,78567.2,16033205.418
2025-08-31 22:45:00,203.75,203.91,203.34,203.63,48550.0,9883932.864
