ts,side,entry,price,uPnL,resid_z,VWAP_s,VWAP_m
2025-10-02 04:29:00,-,-,1.6885,0.0,0.981,1.6958,1.7034
2025-10-02 04:30:00,-,-,1.6822,0.0,1.299,1.6922,1.7009
2025-10-02 04:31:00,-,-,1.6806,0.0,1.164,1.6889,1.6982
2025-10-02 04:32:00,-,-,1.6809,0.0,0.845,1.6866,1.696
2025-10-02 04:33:00,-,-,1.6778,0.0,1.048,1.6828,1.6931
2025-10-02 04:34:00,-,-,1.675,0.0,0.465,1.6803,1.6907
2025-10-02 04:35:00,-,-,1.6733,0.0,0.339,1.6782,1.6883
2025-10-02 04:36:00,-,-,1.6739,0.0,0.639,1.6763,1.6858
2025-10-02 04:37:00,-,-,1.6748,0.0,0.268,1.6754,1.6837
2025-10-02 04:38:00,-,-,1.6738,0.0,0.322,1.6743,1.6816
2025-10-02 04:39:00,-,-,1.6705,0.0,0.345,1.6728,1.6794
2025-10-02 04:40:00,-,-,1.6687,0.0,0.316,1.6718,1.6773
2025-10-02 04:41:00,-,-,1.669,0.0,0.079,1.6711,1.6756
2025-10-02 04:42:00,-,-,1.6682,0.0,1.27,1.6703,1.6741
2025-10-02 04:43:00,-,-,1.6755,0.0,0.55,1.6711,1.6738
2025-10-02 04:44:00,-,-,1.67515,0.0,-0.973,1.6712,1.6732
2025-10-02 04:45:00,-,-,1.673,0.0,1.266,1.6712,1.6726
2025-10-02 04:46:00,-,-,1.6659,0.0,-0.503,1.6701,1.6713
2025-10-02 04:47:00,-,-,1.6603,0.0,0.795,1.6681,1.6699
2025-10-02 04:48:00,-,-,1.6654,0.0,-0.111,1.6681,1.6695
2025-10-02 04:49:00,-,-,1.6684,0.0,0.089,1.668,1.6694
2025-10-02 04:50:00,-,-,1.6691,0.0,0.492,1.6664,1.6687
2025-10-02 04:51:00,-,-,1.6644,0.0,0.278,1.6654,1.6682
2025-10-02 04:52:00,-,-,1.6623,0.0,0.568,1.6639,1.6672
2025-10-02 04:53:00,-,-,1.6629,0.0,0.47,1.6639,1.6667
2025-10-02 04:54:00,-,-,1.6651,0.0,0.82,1.6645,1.6665
2025-10-02 04:55:00,-,-,1.6697,0.0,-0.104,1.665,1.6667
2025-10-02 04:56:00,-,-,1.6704,0.0,-0.113,1.6656,1.6667
2025-10-02 04:57:00,-,-,1.67195,0.0,-0.056,1.6666,1.6665
2025-10-02 04:58:00,-,-,1.6733,0.0,-0.168,1.668,1.6664
2025-10-02 04:59:00,-,-,1.673,0.0,-0.494,1.6695,1.6666
2025-10-02 05:00:00,-,-,1.6776,0.0,-0.467,1.6716,1.6678
2025-10-02 05:01:00,-,-,1.6772,0.0,-0.298,1.6731,1.6689
2025-10-02 05:02:00,-,-,1.67735,0.0,-1.16,1.6743,1.6697
2025-10-02 05:03:00,-,-,1.6777,0.0,-2.908,1.6754,1.6705
2025-10-02 05:04:00,-,-,1.6741,0.0,-2.701,1.6752,1.6709
2025-10-02 05:05:00,-,-,1.6665,0.0,0.838,1.6746,1.6713
2025-10-02 05:06:00,-,-,1.6687,0.0,0.061,1.6739,1.6719
2025-10-02 05:07:00,-,-,1.6695,0.0,0.234,1.673,1.6724
2025-10-02 05:08:00,-,-,1.6654,0.0,0.049,1.6712,1.6722
2025-10-02 05:09:00,-,-,1.6709,0.0,1.256,1.6703,1.6724
2025-10-02 05:10:00,-,-,1.6706,0.0,0.29,1.6696,1.6724
